p_nr,p_name_keyword,p_name_proper,p_text,p_brand,p_cluster{0},p_comp[leg length],p_comp[compostion],p_comp[material],p_comp[care instructions],p_comp[producttype],p_tag[agegroup]{0},p_tag[gender]{0},p_tag[season]{0},p_tag[sizegrid]{0},p_tag[style]{0},p_bullet{0},p_bullet{1},p_bullet{2},p_bullet{3},p_bullet{4},a_nr,a_prodnr,a_ean,a_comp[color],a_comp[size],a_vk[zafn],a_vk_old[zafn],a_active[zafn],a_active
6484,Active wear Leggings,Basic,You can wear the everyday leggings for the gym as well as in your spare time. The leggings are very stretchy and comfortable for your enjoyment both at home and in the gym. The leggings support the parts of your body so that you perform better in your exercises.,BVLV,"Women, Gym wear, Fitness, Clothing, Sports wear, Leggings",long,"95% Nylon, 5% Spandex",Nylon,"30 °C washing machine, no dryer",Gym wear Leggings,adult,women,All season,Womens Sportleggings US [XS-M],"Fitness, leisure",Strechy,no see through ,breathable,comfortable,shape forming,BLV_SM_BL_6485,8.72073E+12,8.72073E+12,Blue,S,"57,00","67,00",1,1
6484,Active wear Leggings,Basic,You can wear the everyday leggings for the gym as well as in your spare time. The leggings are very stretchy and comfortable for your enjoyment both at home and in the gym. The leggings support the parts of your body so that you perform better in your exercises.,BVLV,"Women, Gym wear, Fitness, Clothing, Sports wear, Leggings",long,"95% Nylon, 5% Spandex",Nylon,"30 °C washing machine, no dryer",Gym wear Leggings,adult,women,All season,Womens Sportleggings US [XS-M],"Fitness, leisure",Strechy,no see through ,breathable,comfortable,shape forming,BLV_XS_BL_6486,8.72073E+12,8.72073E+12,Blue,XS,"57,00","67,00",1,1
6386,Active wear T-shirt,Basic,"The basic Gym wear t-shirt is perfect for wearing in the gym as well for wearing it casually. The t-shirt has a nice light strech and moves with the body. It is made from high quality material for comfort. The material helps you in your performance, so you can focus on your goal and your goal only.",BVLV,"Men, Gym Wear, Active Wear, Fitness, Basic shirt, Clothing, T-shirt",,95% Cotton 5% Spandex,Cotton,"30 °C washing machine, no dryer",Gym wear T-shirt,adult,men,All season,Mens Sport T-shirt US [S-XL],"Fitness, leisure",Light strech,muscle fit ,anti smell,comfortable,soft feel,BLV_SM_YLLW_6386,8.72073E+12,8.72073E+12,Yellow,S,"47,99","47,99",1,1
6386,Active wear T-shirt,Basic,"The basic Gym wear t-shirt is perfect for wearing in the gym as well for wearing it casually. The t-shirt has a nice light strech and moves with the body. It is made from high quality material for comfort. The material helps you in your performance, so you can focus on your goal and your goal only.",BVLV,"Men, Gym Wear, Active Wear, Fitness, Basic shirt, Clothing, T-shirt",,95% Cotton 5% Spandex,Cotton,"30 °C washing machine, no dryer",Gym wear T-shirt,adult,men,All season,Mens Sport T-shirt US [S-XL],"Fitness, leisure",Light strech,muscle fit ,anti smell,comfortable,soft feel,BLV_MD_YLLW_6387,8.72073E+12,8.72073E+12,Yellow,M,"47,99","47,99",1,1
6386,Active wear T-shirt,Basic,"The basic Gym wear t-shirt is perfect for wearing in the gym as well for wearing it casually. The t-shirt has a nice light strech and moves with the body. It is made from high quality material for comfort. The material helps you in your performance, so you can focus on your goal and your goal only.",BVLV,"Men, Gym Wear, Active Wear, Fitness, Basic shirt, Clothing, T-shirt",,95% Cotton 5% Spandex,Cotton,"30 °C washing machine, no dryer",Gym wear T-shirt,adult,men,All season,Mens Sport T-shirt US [S-XL],"Fitness, leisure",Light strech,muscle fit ,anti smell,comfortable,soft feel,BLV_L_YLLW_6391,8.72073E+12,8.72073E+12,Yellow,L,"47,99","47,99",1,1
6386,Active wear T-shirt,Basic,"The basic Gym wear t-shirt is perfect for wearing in the gym as well for wearing it casually. The t-shirt has a nice light strech and moves with the body. It is made from high quality material for comfort. The material helps you in your performance, so you can focus on your goal and your goal only.",BVLV,"Men, Gym Wear, Active Wear, Fitness, Basic shirt, Clothing, T-shirt",,95% Cotton 5% Spandex,Cotton,"30 °C washing machine, no dryer",Gym wear T-shirt,adult,men,All season,Mens Sport T-shirt US [S-XL],"Fitness, leisure",Light strech,muscle fit ,anti smell,comfortable,soft feel,BLV_XL_YLLW_6395,8.72073E+12,8.72073E+12,Yellow,XL,"47,99","47,99",1,1
6405,Active wear T-shirt,Basic,"The basic Gym wear t-shirt is perfect for wearing in the gym as well for wearing it casually. The t-shirt has a nice light strech and moves with the body. It is made from high quality material for comfort. The material helps you in your performance, so you can focus on your goal and your goal only.",BVLV,"Men, Gym Wear, Active Wear, Fitness, Basic shirt, Clothing, T-shirt",,"73% Cotton, 20% Polyester, 7% Spandex",Cotton,"30 °C washing machine, no dryer",Gym wear T-shirt,adult,men,All season,Mens Sport T-shirt US [S-XL],"Fitness, leisure",Light strech,muscle fit ,anti smell,comfortable,soft feel,BLV_SM_RD_6405,8.72073E+12,8.72073E+12,Red,S,"47,99","47,99",1,1
6405,Active wear T-shirt,Basic,"The basic Gym wear t-shirt is perfect for wearing in the gym as well for wearing it casually. The t-shirt has a nice light strech and moves with the body. It is made from high quality material for comfort. The material helps you in your performance, so you can focus on your goal and your goal only.",BVLV,"Men, Gym Wear, Active Wear, Fitness, Basic shirt, Clothing, T-shirt",,"73% Cotton, 20% Polyester, 7% Spandex",Cotton,"30 °C washing machine, no dryer",Gym wear T-shirt,adult,men,All season,Mens Sport T-shirt US [S-XL],"Fitness, leisure",Light strech,muscle fit ,anti smell,comfortable,soft feel,BLV_MD_RD_6404,8.72073E+12,8.72073E+12,Red,M,"47,99","47,99",1,1
6405,Active wear T-shirt,Basic,"The basic Gym wear t-shirt is perfect for wearing in the gym as well for wearing it casually. The t-shirt has a nice light strech and moves with the body. It is made from high quality material for comfort. The material helps you in your performance, so you can focus on your goal and your goal only.",BVLV,"Men, Gym Wear, Active Wear, Fitness, Basic shirt, Clothing, T-shirt",,"73% Cotton, 20% Polyester, 7% Spandex",Cotton,"30 °C washing machine, no dryer",Gym wear T-shirt,adult,men,All season,Mens Sport T-shirt US [S-XL],"Fitness, leisure",Light strech,muscle fit ,anti smell,comfortable,soft feel,BLV_L_RD_6403,8.72073E+12,8.72073E+12,Red,L,"47,99","47,99",1,1
6405,Active wear T-shirt,Basic,"The basic Gym wear t-shirt is perfect for wearing in the gym as well for wearing it casually. The t-shirt has a nice light strech and moves with the body. It is made from high quality material for comfort. The material helps you in your performance, so you can focus on your goal and your goal only.",BVLV,"Men, Gym Wear, Active Wear, Fitness, Basic shirt, Clothing, T-shirt",,"73% Cotton, 20% Polyester, 7% Spandex",Cotton,"30 °C washing machine, no dryer",Gym wear T-shirt,adult,men,All season,Mens Sport T-shirt US [S-XL],"Fitness, leisure",Light strech,muscle fit ,anti smell,comfortable,soft feel,BLV_XL_RD_6402,8.72073E+12,8.72073E+12,Red,XL,"47,99","47,99",1,1
