ean,partner_article,partner_article_variant,partner_variant_size,zalando_article_variant,zalando_variant_size,article_name,brand,season,flag_partner_variantsize,status_detail,status_description,country,sellable_zfs_stock,sellable_pf_stock,regular_price,discounted_price,currency,status_cluster
8720726049344,20,8720726049344,BLV_L_YLLW_6391,BVB22O002-E11,BVB22O002-E11000L000,BVLV Active Wear T-shirt Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,20,,"47,99","27,99",EUR,BLOCKED
8720726049351,20,8720726049344,BLV_XL_YLLW_6395,BVB22O002-E11,BVB22O002-E1100XL000,BVLV Active Wear T-shirt Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,19,,"47,99","27,99",EUR,BLOCKED
8720726049368,22,8720726049375,BLV_MD_RD_6404,BVB22O003-G11,BVB22O003-G11000M000,BVLV Active Wear T-shirt Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,17,,"47,99","27,99",EUR,BLOCKED
8720726049375,22,8720726049375,BLV_L_RD_6403,BVB22O003-G11,BVB22O003-G11000L000,BVLV Active Wear T-shirt Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,17,,"47,99","27,99",EUR,BLOCKED
8720726049382,22,8720726049375,BLV_XL_RD_6402,BVB22O003-G11,BVB22O003-G1100XL000,BVLV Active Wear T-shirt Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,16,,"47,99","27,99",EUR,BLOCKED
8720726049399,24,8720726049405,BLV_MD_LB_6416,BVB22O000-K11,BVB22O000-K11000M000,BVLV Active Wear T-shirt Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,21,,"47,99","27,99",EUR,BLOCKED
8720726049405,24,8720726049405,BLV_L_LB_6415,BVB22O000-K11,BVB22O000-K11000L000,BVLV Active Wear T-shirt Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,20,,"47,99","27,99",EUR,BLOCKED
8720726049412,24,8720726049405,BLV_XL_LB_6414,BVB22O000-K11,BVB22O000-K1100XL000,BVLV Active Wear T-shirt Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,21,,"47,99","27,99",EUR,BLOCKED
8720726049429,26,8720726049436,BLV_MD_BLK_6424,BVB22O001-Q11,BVB22O001-Q11000M000,BVLV Active Wear T-shirt Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,17,,"47,99","27,99",EUR,BLOCKED
8720726049436,26,8720726049436,BLV_L_BLK_6423,BVB22O001-Q11,BVB22O001-Q11000L000,BVLV Active Wear T-shirt Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,19,,"47,99","27,99",EUR,BLOCKED
8720726049443,26,8720726049436,BLV_XL_BLK_6422,BVB22O001-Q11,BVB22O001-Q1100XL000,BVLV Active Wear T-shirt Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,14,,"47,99","27,99",EUR,BLOCKED
8720726049450,26,8720726049467,BLV_MD_PI_6430,BVB22O001-J11,BVB22O001-J11000M000,BVLV Active Wear T-shirt Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,23,,"47,99","27,99",EUR,BLOCKED
8720726049467,26,8720726049467,BLV_L_PI_6429,BVB22O001-J11,BVB22O001-J11000L000,BVLV Active Wear T-shirt Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,21,,"47,99","27,99",EUR,BLOCKED
8720726049474,26,8720726049467,BLV_XL_PI_6428,BVB22O001-J11,BVB22O001-J1100XL000,BVLV Active Wear T-shirt Basic,BVLV,year_round_basics,2,ZABLO_13,(1) ZABLO_13: Whole partner block by Zalando,nl,21,,"47,99","27,99",EUR,BLOCKED
8720726049481,2,8720726049016,BLV_MD_PI_6604,BVB21A006-J11,BVB21A006-J11000M000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,"ZABLO_13, ZANOS_01",(1) ZABLO_13: Whole partner block by Zalando | (2) ZANOS_01: Stock is missing,nl,,,"67,00","37,00",EUR,BLOCKED
8720726049498,2,8720726049016,BLV_L_PI_6605,BVB21A006-J11,BVB21A006-J11000L000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,"ZABLO_13, ZANOS_01",(1) ZABLO_13: Whole partner block by Zalando | (2) ZANOS_01: Stock is missing,nl,,,"67,00","37,00",EUR,BLOCKED
8720726049504,4,8720726049191,BLV_L_GRY_6592,BVB21A005-C11,BVB21A005-C11000L000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,"ZABLO_13, ZANOS_01",(1) ZABLO_13: Whole partner block by Zalando | (2) ZANOS_01: Stock is missing,nl,,,"67,00","37,00",EUR,BLOCKED
8720726049511,4,8720726049214,BLV_L_LB_6573,BVB21A005-K11,BVB21A005-K11000L000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,"ZABLO_13, ZANOS_01",(1) ZABLO_13: Whole partner block by Zalando | (2) ZANOS_01: Stock is missing,nl,,,"67,00","37,00",EUR,BLOCKED
8720726049528,4,8720726049238,BLV_L_PI_6555,BVB21A005-G11,BVB21A005-G11000L000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,"ZABLO_13, ZANOS_01",(1) ZABLO_13: Whole partner block by Zalando | (2) ZANOS_01: Stock is missing,nl,,,"67,00","37,00",EUR,BLOCKED
8720726049535,4,8720726049245,BLV_L_MB_6545,BVB21A005-M11,BVB21A005-M11000L000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,"ZABLO_13, ZANOS_01",(1) ZABLO_13: Whole partner block by Zalando | (2) ZANOS_01: Stock is missing,nl,,,"67,00","37,00",EUR,BLOCKED
8720726049542,6,8720726049207,BLV_L_BLK_6686,BVB21A003-Q11,BVB21A003-Q11000L000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,"ZABLO_13, ZANOS_01",(1) ZABLO_13: Whole partner block by Zalando | (2) ZANOS_01: Stock is missing,nl,,,"67,00","37,00",EUR,BLOCKED
8720726049559,8,8720726049221,BLV_L_ORG_6564,BVB21A002-H11,BVB21A002-H11000L000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,"ZABLO_13, ZANOS_01",(1) ZABLO_13: Whole partner block by Zalando | (2) ZANOS_01: Stock is missing,nl,,,"67,00","37,00",EUR,BLOCKED
8720726049566,12,8720726049252,BLV_L_GRY_6535,BVB21A000-C11,BVB21A000-C11000L000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,"ZABLO_13, ZANOS_01",(1) ZABLO_13: Whole partner block by Zalando | (2) ZANOS_01: Stock is missing,nl,,,"67,00","37,00",EUR,BLOCKED
8720726049573,14,8720726049269,BLV_L_BLK_6524,BVB21A004-Q11,BVB21A004-Q11000L000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,"ZABLO_13, ZANOS_01",(1) ZABLO_13: Whole partner block by Zalando | (2) ZANOS_01: Stock is missing,nl,,,"67,00","37,00",EUR,BLOCKED
8720726049580,16,8720726049276,BLV_SM_LGRY_6514,BVB21A001-C11,BVB21A001-C11000S000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,"ZABLO_13, ZANOS_01",(1) ZABLO_13: Whole partner block by Zalando | (2) ZANOS_01: Stock is missing,nl,,,"67,00","37,00",EUR,BLOCKED
8720726049597,2,8720726049016,BLV_XS_PI_6606,BVB21A006-J11,BVB21A006-J1100XS000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,"ZABLO_13, ZANOS_01",(1) ZABLO_13: Whole partner block by Zalando | (2) ZANOS_01: Stock is missing,nl,,,"67,00","37,00",EUR,BLOCKED
8720726049603,2,8720726049016,BLV_XL_PI_6607,BVB21A006-J11,BVB21A006-J1100XL000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,"ZABLO_13, ZANOS_01",(1) ZABLO_13: Whole partner block by Zalando | (2) ZANOS_01: Stock is missing,nl,,,"67,00","37,00",EUR,BLOCKED
8720726049610,4,8720726049191,BLV_XS_GRY_6593,BVB21A005-C11,BVB21A005-C1100XS000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,"ZABLO_13, ZANOS_01",(1) ZABLO_13: Whole partner block by Zalando | (2) ZANOS_01: Stock is missing,nl,,,"67,00","37,00",EUR,BLOCKED
8720726049627,4,8720726049191,BLV_XL_GRY_6594,BVB21A005-C11,BVB21A005-C1100XL000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,"ZABLO_13, ZANOS_01",(1) ZABLO_13: Whole partner block by Zalando | (2) ZANOS_01: Stock is missing,nl,,,"67,00","37,00",EUR,BLOCKED
8720726049634,4,8720726049214,BLV_XS_LB_6574,BVB21A005-K11,BVB21A005-K1100XS000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,"ZABLO_13, ZANOS_01",(1) ZABLO_13: Whole partner block by Zalando | (2) ZANOS_01: Stock is missing,nl,,,"67,00","37,00",EUR,BLOCKED
8720726049641,4,8720726049214,BLV_XL_LB_6575,BVB21A005-K11,BVB21A005-K1100XL000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,"ZABLO_13, ZANOS_01",(1) ZABLO_13: Whole partner block by Zalando | (2) ZANOS_01: Stock is missing,nl,,,"67,00","37,00",EUR,BLOCKED
8720726049658,4,8720726049238,BLV_XS_PI_6556,BVB21A005-G11,BVB21A005-G1100XS000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,"ZABLO_13, ZANOS_01",(1) ZABLO_13: Whole partner block by Zalando | (2) ZANOS_01: Stock is missing,nl,,,"67,00","37,00",EUR,BLOCKED
8720726049665,4,8720726049238,BLV_XL_PI_6557,BVB21A005-G11,BVB21A005-G1100XL000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,"ZABLO_13, ZANOS_01",(1) ZABLO_13: Whole partner block by Zalando | (2) ZANOS_01: Stock is missing,nl,,,"67,00","37,00",EUR,BLOCKED
8720726049672,4,8720726049245,BLV_XS_MB_6546,BVB21A005-M11,BVB21A005-M1100XS000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,"ZABLO_13, ZANOS_01",(1) ZABLO_13: Whole partner block by Zalando | (2) ZANOS_01: Stock is missing,nl,,,"67,00","37,00",EUR,BLOCKED
8720726049689,4,8720726049245,BLV_XL_MB_6547,BVB21A005-M11,BVB21A005-M1100XL000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,"ZABLO_13, ZANOS_01",(1) ZABLO_13: Whole partner block by Zalando | (2) ZANOS_01: Stock is missing,nl,,,"67,00","37,00",EUR,BLOCKED
8720726049696,6,8720726049207,BLV_XS_BLK_6687,BVB21A003-Q11,BVB21A003-Q1100XS000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,"ZABLO_13, ZANOS_01",(1) ZABLO_13: Whole partner block by Zalando | (2) ZANOS_01: Stock is missing,nl,,,"67,00","37,00",EUR,BLOCKED
8720726049702,6,8720726049207,BLV_XL_BLK_6688,BVB21A003-Q11,BVB21A003-Q1100XL000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,"ZABLO_13, ZANOS_01",(1) ZABLO_13: Whole partner block by Zalando | (2) ZANOS_01: Stock is missing,nl,,,"67,00","37,00",EUR,BLOCKED
8720726049719,8,8720726049221,BLV_XS_ORG_6565,BVB21A002-H11,BVB21A002-H1100XS000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,"ZABLO_13, ZANOS_01",(1) ZABLO_13: Whole partner block by Zalando | (2) ZANOS_01: Stock is missing,nl,,,"67,00","37,00",EUR,BLOCKED
8720726049726,8,8720726049221,BLV_XL_ORG_6566,BVB21A002-H11,BVB21A002-H1100XL000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,"ZABLO_13, ZANOS_01",(1) ZABLO_13: Whole partner block by Zalando | (2) ZANOS_01: Stock is missing,nl,,,"67,00","37,00",EUR,BLOCKED
8720726049733,12,8720726049252,BLV_XS_GRY_6536,BVB21A000-C11,BVB21A000-C1100XS000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,"ZABLO_13, ZANOS_01",(1) ZABLO_13: Whole partner block by Zalando | (2) ZANOS_01: Stock is missing,nl,,,"67,00","37,00",EUR,BLOCKED
8720726049740,12,8720726049252,BLV_XL_GRY_6537,BVB21A000-C11,BVB21A000-C1100XL000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,"ZABLO_13, ZANOS_01",(1) ZABLO_13: Whole partner block by Zalando | (2) ZANOS_01: Stock is missing,nl,,,"67,00","37,00",EUR,BLOCKED
8720726049757,14,8720726049269,BLV_XS_BLK_6525,BVB21A004-Q11,BVB21A004-Q1100XS000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,"ZABLO_13, ZANOS_01",(1) ZABLO_13: Whole partner block by Zalando | (2) ZANOS_01: Stock is missing,nl,,,"67,00","37,00",EUR,BLOCKED
8720726049764,14,8720726049269,BLV_XL_BLK_6526,BVB21A004-Q11,BVB21A004-Q1100XL000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,"ZABLO_13, ZANOS_01",(1) ZABLO_13: Whole partner block by Zalando | (2) ZANOS_01: Stock is missing,nl,,,"67,00","37,00",EUR,BLOCKED
8720726049771,16,8720726049276,BLV_L_LGRY_6515,BVB21A001-C11,BVB21A001-C11000L000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,"ZABLO_13, ZANOS_01",(1) ZABLO_13: Whole partner block by Zalando | (2) ZANOS_01: Stock is missing,nl,,,"67,00","37,00",EUR,BLOCKED
8720726049788,16,8720726049276,BLV_XL_LGRY_6516,BVB21A001-C11,BVB21A001-C1100XL000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,"ZABLO_13, ZANOS_01",(1) ZABLO_13: Whole partner block by Zalando | (2) ZANOS_01: Stock is missing,nl,,,"67,00","37,00",EUR,BLOCKED
8720726049795,18,8720726049283,BLV_L_BL_6487,BVB21A007-K11,BVB21A007-K11000L000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,"ZABLO_13, ZANOS_01",(1) ZABLO_13: Whole partner block by Zalando | (2) ZANOS_01: Stock is missing,nl,,,"67,00","37,00",EUR,BLOCKED
8720726049801,18,8720726049283,BLV_XL_BL_6488,BVB21A007-K11,BVB21A007-K1100XL000,BVLV Active Wear Leggings Basic,BVLV,year_round_basics,2,"ZABLO_13, ZANOS_01",(1) ZABLO_13: Whole partner block by Zalando | (2) ZANOS_01: Stock is missing,nl,,,"67,00","37,00",EUR,BLOCKED
